,target,text
0,annoying,เธอทำให้ฉันรำคาญ
1,annoying,อย่าทำให้ฉันรำคาญ
2,annoying,เธอน่ารำคาญจังเลยอ่ะ
3,annoying,เธอนี่มันน่ารำคาญสุดๆ
4,annoying,‹
5,annoying,เธอน่ารำคาญมาก
6,annoying,เธอน่ารำคาญสุดๆ
7,annoying,ฉันว่าเธอน่ารำคาญ
8,annoying,อย่าทำตัวน่ารำคาญ
9,annoying,เธอน่ารำคาญจัง
10,annoying,โอ๊ย เธอน่ารำคาญจัง
11,answer_my_question,ตอบฉันที
12,answer_my_question,บอกคำตอบมา
13,answer_my_question,ตอบมาเร็ว
14,answer_my_question,ตอบคำถาม
15,answer_my_question,ตอบมา
16,answer_my_question,ตอบสิ
17,answer_my_question,ตอบคำถามฉันมา
18,answer_my_question,ตอบคำถามฉันหน่อย
19,answer_my_question,ตอบหน่อยได้ไหม
20,answer_my_question,ตอบฉันหน่อย
21,acquaintance,มาทำไรในนี้เนี่ย
22,acquaintance,บอกหน่อย เธอเป็นคนยังไง
23,acquaintance,อยากรู้จักเธอให้มากขึ้น
24,acquaintance,เล่าเกี่ยวกับตัวเองหน่อย
25,acquaintance,บอกอะไรก็ได้เกี่ยวกับตัวเอง
26,acquaintance,เล่าเรื่องเธอให้ฟังหน่อย
27,acquaintance,อยากรู้เกี่ยวกับเธอมากขึ้น
28,acquaintance,เธอเป็นใคร
29,acquaintance,เล่าเรื่องตัวเองให้ฟังหน่อย
30,acquaintance,เล่าอะไรก็ได้เกี่ยวกับตัวเองให้ฟังหน่อย
31,be_clever,ทำตัวให้มีคุณสมบัติหน่อย
32,be_clever,ทำตัวฉลาดหน่อย
33,be_clever,เธอต้องหาความรู้
34,be_clever,ทำตัวฉลาดๆ หน่อย
35,be_clever,เรียนรู้หน่อย
36,be_clever,เธอควรตั้งใจที่จะเรียนรู้
37,be_clever,ทำตัวฉลาดขึ้นซิ
38,be_clever,ทำตัวฉลาดขึ้นหน่อย
39,age,อยากรู้ว่าเธออายุเท่าไหร่
40,age,บอกอายุเธอหน่อย
41,age,อายุเท่าไหร่
42,age,อายุเธอล่ะ
43,age,แพลตฟอร์มนี้อายุเท่าไหร่แล้ว
44,age,21
45,age, ปีใช่ไหม
46,age,อายุล่ะ
47,bad,อ่อน
48,bad,เธอแย่จัง
49,bad,เธอแย่มาก
50,bad,ห่วยแตก
51,bad,เธอทำฉันเสียเวลา
52,bad,ช่วยฉันไม่ค่อยได้เลยนะ
53,bad,น่ารังเกียจจัง
54,bad,เธอแย่มากๆ
55,bad,ไม่มีประโยชน์เลย
56,bad,ไร้ประโยชน์จริงๆ
